label,message,result,num,char_count,word_count,unique_word_count,punct_count,uppercase_ratio,outlier_char_count_iqr_global,outlier_char_count_zscore_global,outlier_word_count_iqr_global,outlier_word_count_zscore_global,outlier_punct_count_iqr_global,outlier_punct_count_zscore_global,outlier_uppercase_ratio_iqr_global,outlier_uppercase_ratio_zscore_global,outlier_char_count_iqr_by_group,outlier_word_count_iqr_by_group,outlier_punct_count_iqr_by_group,outlier_uppercase_ratio_iqr_by_group,outlier_char_count_iqr_humor,outlier_word_count_iqr_humor,outlier_punct_count_iqr_humor,outlier_uppercase_ratio_iqr_humor
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",dumor,0,111,20,20,9,0.02702702702702703,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Ok lar... Joking wif u oni...,dumor,0,29,6,6,6,0.06896551724137931,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,dumor,0,155,28,24,6,0.06451612903225806,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,U dun say so early hor... U c already then say...,dumor,0,49,11,10,6,0.04081632653061224,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,"Nah I don't think he goes to usf, he lives around here though",dumor,0,61,13,12,2,0.03278688524590164,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",dumor,0,148,32,31,9,0.0472972972972973,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,Even my brother is not like to speak with me. They treat me like aids patent.,dumor,0,77,16,15,2,0.025974025974025976,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,dumor,0,160,26,24,6,0.0625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,humor,1,158,26,26,7,0.0759493670886076,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,dumor,0,154,29,27,2,0.09090909090909091,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
